CEST;NCM/SH;Segmento CEST;Item;Descrição CEST;Anexo XXVII
01.001.00;3815.12.10;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;
01.001.00;3815.12.90;01. Autopeças;1.0;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;
01.002.00;3917;01. Autopeças;2.0;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;
01.003.00;3918.10.00;01. Autopeças;3.0;Protetores de caçamba;
01.004.00;3923.30.00;01. Autopeças;4.0;Reservatórios de óleo;
01.005.00;3926.30.00;01. Autopeças;5.0;Frisos, decalques, molduras e acabamentos;
01.006.00;4010.3;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;
01.006.00;5910.00.00;01. Autopeças;6.0;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;
01.007.00;4016.93.00;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação;
01.007.00;4823.90.9;01. Autopeças;7.0;Juntas, gaxetas e outros elementos com função semelhante de vedação;
01.008.00;4016.10.10;01. Autopeças;8.0;Partes de veículos automóveis, tratores e máquinas autopropulsadas;
01.009.00;4016.99.90;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;
01.009.00;5705.00.00;01. Autopeças;9.0;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;
01.010.00;5903.90.00;01. Autopeças;10.0;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;
01.011.00;5909.00.00;01. Autopeças;11.0;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;
01.012.00;6306.1;01. Autopeças;12.0;Encerados e toldos;
01.013.00;6506.10.00;01. Autopeças;13.0;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;
01.014.00;6813;01. Autopeças;14.0;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;
01.015.00;7007.11.00;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva;
01.015.00;7007.21.00;01. Autopeças;15.0;Vidros de dimensões e formatos que permitam aplicação automotiva;
01.016.00;7009.10.00;01. Autopeças;16.0;Espelhos retrovisores;
01.017.00;7014.00.00;01. Autopeças;17.0;Lentes de faróis, lanternas e outros utensílios;
01.018.00;7311.00.00;01. Autopeças;18.0;Cilindro de aço para GNV (gás natural veicular);
01.019.00;7311.00.00;01. Autopeças;19.0;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;
01.020.00;7320;01. Autopeças;20.0;Molas e folhas de molas, de ferro ou aço;
01.021.00;7325;01. Autopeças;21.0;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;
01.022.00;7806.00;01. Autopeças;22.0;Peso de chumbo para balanceamento de roda;
01.023.00;8007.00.90;01. Autopeças;23.0;Peso para balanceamento de roda e outros utensílios de estanho;
01.024.00;8301.20;01. Autopeças;24.0;Fechaduras e partes de fechaduras;
01.024.00;8301.60;01. Autopeças;24.0;Fechaduras e partes de fechaduras;
01.025.00;8301.70;01. Autopeças;25.0;Chaves apresentadas isoladamente;
01.026.00;8302.10.00;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;
01.026.00;8302.30.00;01. Autopeças;26.0;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;
01.027.00;8310.00;01. Autopeças;27.0;Triângulo de segurança;
01.028.00;8407.3;01. Autopeças;28.0;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;
01.029.00;8408.20;01. Autopeças;29.0;Motores dos tipos utilizados para propulsão de veículos automotores;
01.030.00;8409.9;01. Autopeças;30.0;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;
01.031.00;8412.2;01. Autopeças;31.0;Motores hidráulicos;
01.032.00;8413.30;01. Autopeças;32.0;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;
01.033.00;8414.10.00;01. Autopeças;33.0;Bombas de vácuo;
01.034.00;8414.80.1;01. Autopeças;34.0;Compressores e turbocompressores de ar;
01.034.00;8414.80.2;01. Autopeças;34.0;Compressores e turbocompressores de ar;
01.035.00;8413.91.90;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
01.035.00;8414.90.10;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
01.035.00;8414.90.3;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
01.035.00;8414.90.39;01. Autopeças;35.0;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;
01.036.00;8415.20;01. Autopeças;36.0;Máquinas e aparelhos de ar condicionado;
01.037.00;8421.23.00;01. Autopeças;37.0;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;
01.038.00;8421.29.90;01. Autopeças;38.0;Filtros a vácuo;
01.039.00;8421.9;01. Autopeças;39.0;Partes dos aparelhos para filtrar ou depurar líquidos ou gases;
01.040.00;8424.10.00;01. Autopeças;40.0;Extintores, mesmo carregados;
01.041.00;8421.31.00;01. Autopeças;41.0;Filtros de entrada de ar para motores de ignição por centelha ou por compressão;
01.042.00;8421.39.20;01. Autopeças;42.0;Depuradores por conversão catalítica de gases de escape;
01.043.00;8425.42.00;01. Autopeças;43.0;Macacos;
01.044.00;8431.10.10;01. Autopeças;44.0;Partes para macacos do CEST 01.043.00;
01.045.00;8431.49.2;01. Autopeças;45.0;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;
01.045.01;8433.90.90;01. Autopeças;45.1;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;
01.046.00;8481.10.00;01. Autopeças;46.0;Válvulas redutoras de pressão;
01.047.00;8481.2;01. Autopeças;47.0;Válvulas para transmissão óleo-hidráulicas ou pneumáticas;
01.048.00;8481.80.92;01. Autopeças;48.0;Válvulas solenoides;
01.049.00;8482;01. Autopeças;49.0;Rolamentos;
01.050.00;8483;01. Autopeças;50.0;"Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação";
01.051.00;8484;01. Autopeças;51.0;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)";
01.052.00;8505.20;01. Autopeças;52.0;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos;
01.053.00;8507.10;01. Autopeças;53.0;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01;
01.053.01;8507.10.10;01. Autopeças;53.1;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior a 20 Ah e tensão inferior ou igual a 12 V;
01.054.00;8511;01. Autopeças;54.0;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores";
01.055.00;8512.20;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;
01.055.00;8512.40;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;
01.055.00;8512.90.00;01. Autopeças;55.0;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;
01.056.00;8517.12.13;01. Autopeças;56.0;Telefones móveis do tipo dos utilizados em veículos automóveis.;
01.057.00;8518;01. Autopeças;57.0;Alto-falantes, amplificadores elétricos de audiofrequência e partes;
01.058.00;8518.50.00;01. Autopeças;58.0;Aparelhos elétricos de amplificação de som para veículos automotores;
01.059.00;8519.81;01. Autopeças;59.0;Aparelhos de reprodução de som;
01.060.00;8525.50.1;01. Autopeças;60.0;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);
01.060.00;8525.60.10;01. Autopeças;60.0;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);
01.061.00;8527.21.00;01. Autopeças;61.0;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis;
01.062.00;8527.29.00;01. Autopeças;62.0;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis;
01.062.01;8521.90.90;01. Autopeças;62.1;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores;
01.063.00;8529.10.90;01. Autopeças;63.0;Antenas;
01.064.00;8534.00;01. Autopeças;64.0;Circuitos impressos;
01.065.00;8535.30;01. Autopeças;65.0;Interruptores e seccionadores e comutadores;
01.065.00;8536.50;01. Autopeças;65.0;Interruptores e seccionadores e comutadores;
01.066.00;8536.10.00;01. Autopeças;66.0;Fusíveis e corta-circuitos de fusíveis;
01.067.00;8536.20.00;01. Autopeças;67.0;Disjuntores;
01.068.00;8536.4;01. Autopeças;68.0;Relés;
01.069.00;8538;01. Autopeças;69.0;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00;
01.070.00;8539.10;01. Autopeças;70.0;Faróis e projetores, em unidades seladas;
01.071.00;8539.2;01. Autopeças;71.0;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos;
01.072.00;8544.20.00;01. Autopeças;72.0;Cabos coaxiais e outros condutores elétricos coaxiais;
01.073.00;8544.30.00;01. Autopeças;73.0;Jogos de fios para velas de ignição e outros jogos de fios;
01.074.00;8707;01. Autopeças;74.0;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas;
01.075.00;8708;01. Autopeças;75.0;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;
01.076.00;8714.1;01. Autopeças;76.0;Parte e acessórios de motocicletas (incluídos os ciclomotores);
01.077.00;8716.90.90;01. Autopeças;77.0;Engates para reboques e semirreboques;
01.078.00;9026.10;01. Autopeças;78.0;"Medidores de nível; Medidores de vazão";
01.079.00;9026.20;01. Autopeças;79.0;Aparelhos para medida ou controle da pressão;
01.080.00;9029;01. Autopeças;80.0;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios;
01.081.00;9030.33.21;01. Autopeças;81.0;Amperímetros;
01.082.00;9031.80.40;01. Autopeças;82.0;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo);
01.083.00;9032.89.2;01. Autopeças;83.0;Controladores eletrônicos;
01.084.00;9104.00.00;01. Autopeças;84.0;Relógios para painéis de instrumentos e relógios semelhantes;
01.085.00;9401.20.00;01. Autopeças;85.0;Assentos e partes de assentos;
01.085.00;9401.90.90;01. Autopeças;85.0;Assentos e partes de assentos;
01.086.00;9613.80.00;01. Autopeças;86.0;Acendedores;
01.087.00;4009;01. Autopeças;87.0;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios;
01.088.00;4504.90.00;01. Autopeças;88.0;Juntas de vedação de cortiça natural e de amianto;
01.088.00;6812.99.10;01. Autopeças;88.0;Juntas de vedação de cortiça natural e de amianto;
01.089.00;4823.40.00;01. Autopeças;89.0;Papel-diagrama para tacógrafo, em disco;
01.090.00;3919.10.00;01. Autopeças;90.0;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";
01.090.00;3919.90.00;01. Autopeças;90.0;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";
01.090.00;8708.29.99;01. Autopeças;90.0;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";
01.091.00;8412.31.10;01. Autopeças;91.0;Cilindros pneumáticos;
01.092.00;8413.19.00;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa;
01.092.00;8413.50.90;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa;
01.092.00;8413.81.00;01. Autopeças;92.0;Bomba elétrica de lavador de para-brisa;
01.093.00;8413.60.19;01. Autopeças;93.0;Bomba de assistência de direção hidráulica;
01.093.00;8413.70.10;01. Autopeças;93.0;Bomba de assistência de direção hidráulica;
01.094.00;8414.59.10;01. Autopeças;94.0;Motoventiladores;
01.094.00;8414.59.90;01. Autopeças;94.0;Motoventiladores;
01.095.00;8421.39.90;01. Autopeças;95.0;Filtros de pólen do ar-condicionado;
01.096.00;8501.10.19;01. Autopeças;96.0;“Máquina” de vidro elétrico de porta;
01.097.00;8501.31.10;01. Autopeças;97.0;Motor de limpador de para-brisa;
01.098.00;8504.50.00;01. Autopeças;98.0;Bobinas de reatância e de autoindução;
01.099.00;8507.20;01. Autopeças;99.0;Baterias de chumbo e de níquel-cádmio;
01.099.00;8507.30;01. Autopeças;99.0;Baterias de chumbo e de níquel-cádmio;
01.100.00;8512.30.00;01. Autopeças;100.0;Aparelhos de sinalização acústica (buzina);
01.101.00;9032.89.8;01. Autopeças;101.0;Instrumentos para regulação de grandezas não elétricas;
01.101.00;9032.89.9;01. Autopeças;101.0;Instrumentos para regulação de grandezas não elétricas;
01.102.00;9027.10.00;01. Autopeças;102.0;Analisadores de gases ou de fumaça (sonda lambda);
01.103.00;4008.11.00;01. Autopeças;103.0;Perfilados de borracha vulcanizada não endurecida;
01.104.00;5601.22.19;01. Autopeças;104.0;Artefatos de pasta de fibra de uso automotivo;
01.105.00;5703.20.00;01. Autopeças;105.0;Tapetes/carpetes - nailón;
01.106.00;5703.30.00;01. Autopeças;106.0;Tapetes de matérias têxteis sintéticas;
01.107.00;5911.90.00;01. Autopeças;107.0;Forração interior capacete;
01.108.00;6903.90.99;01. Autopeças;108.0;Outros para-brisas;
01.109.00;7007.29.00;01. Autopeças;109.0;Moldura com espelho;
01.110.00;7314.50.00;01. Autopeças;110.0;Corrente de transmissão;
01.111.00;7315.11.00;01. Autopeças;111.0;Corrente transmissão;
01.112.00;7315.12.10;01. Autopeças;112.0;Outras correntes de transmissão;
01.113.00;8418.99.00;01. Autopeças;113.0;Condensador tubular metálico;
01.114.00;8419.50;01. Autopeças;114.0;Trocadores de calor;
01.115.00;8424.90.90;01. Autopeças;115.0;Partes de aparelhos mecânicos de pulverizar ou dispersar;
01.116.00;8425.49.10;01. Autopeças;116.0;Macacos manuais para veículos;
01.117.00;8431.41.00;01. Autopeças;117.0;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias;
01.118.00;8501.61.00;01. Autopeças;118.0;Geradores de corrente alternada de potência não superior a 75 kva;
01.119.00;8531.10.90;01. Autopeças;119.0;Aparelhos elétricos para alarme de uso automotivo;
01.120.00;9014.10.00;01. Autopeças;120.0;Bússolas;
01.121.00;9025.19.90;01. Autopeças;121.0;Indicadores de temperatura;
01.122.00;9025.90.10;01. Autopeças;122.0;Partes de indicadores de temperatura;
01.123.00;9026.90;01. Autopeças;123.0;Partes de aparelhos de medida ou controle;
01.124.00;9032.10.10;01. Autopeças;124.0;Termostatos;
01.125.00;9032.10.90;01. Autopeças;125.0;Instrumentos e aparelhos para regulação;
01.126.00;9032.20.00;01. Autopeças;126.0;Pressostatos;
01.127.00;8716.90;01. Autopeças;127.0;Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00;
01.128.00;7322.90.10;01. Autopeças;128.0;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis;
01.999.00;;01. Autopeças;999.0;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo;
02.001.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;1.0;Aperitivos, amargos, bitter e similares;
02.001.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;1.0;Aperitivos, amargos, bitter e similares;
02.002.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;2.0;Batida e similares;
02.003.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;3.0;Bebida ice;
02.004.00;2207.20;02. Bebidas alcoólicas, exceto cerveja e chope;4.0;Cachaça e aguardentes;
02.004.00;2208.40.00;02. Bebidas alcoólicas, exceto cerveja e chope;4.0;Cachaça e aguardentes;
02.005.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares;
02.005.00;2206.00.90;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares;
02.005.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;5.0;Catuaba e similares;
02.006.00;2208.20.00;02. Bebidas alcoólicas, exceto cerveja e chope;6.0;Conhaque, brandy e similares;
02.007.00;2206.00.90;02. Bebidas alcoólicas, exceto cerveja e chope;7.0;Cooler;
02.007.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;7.0;Cooler;
02.008.00;2208.50.00;02. Bebidas alcoólicas, exceto cerveja e chope;8.0;Gim (gin) e genebra;
02.009.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares;
02.009.00;2206.00.90;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares;
02.009.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;9.0;Jurubeba e similares;
02.010.00;2208.70.00;02. Bebidas alcoólicas, exceto cerveja e chope;10.0;Licores e similares;
02.011.00;2208.20.00;02. Bebidas alcoólicas, exceto cerveja e chope;11.0;Pisco;
02.012.00;2208.40.00;02. Bebidas alcoólicas, exceto cerveja e chope;12.0;Rum;
02.013.00;2206.00.90;02. Bebidas alcoólicas, exceto cerveja e chope;13.0;Saquê;
02.014.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;14.0;Steinhaeger;
02.015.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;15.0;Tequila;
02.016.00;2208.30;02. Bebidas alcoólicas, exceto cerveja e chope;16.0;Uísque;
02.017.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;17.0;Vermute e similares;
02.018.00;2208.60.00;02. Bebidas alcoólicas, exceto cerveja e chope;18.0;Vodka;
02.019.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;19.0;Derivados de vodka;
02.020.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;20.0;Arak;
02.021.00;2208.20.00;02. Bebidas alcoólicas, exceto cerveja e chope;21.0;Aguardente vínica / grappa;
02.022.00;2206.00.10;02. Bebidas alcoólicas, exceto cerveja e chope;22.0;Sidra e similares;
02.023.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis;
02.023.00;2206.00.90;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis;
02.023.00;2208.90.00;02. Bebidas alcoólicas, exceto cerveja e chope;23.0;Sangrias e coquetéis;
02.024.00;2204;02. Bebidas alcoólicas, exceto cerveja e chope;24.0;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.";
02.999.00;2205;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores;
02.999.00;2206;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores;
02.999.00;2207;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores;
02.999.00;2208;02. Bebidas alcoólicas, exceto cerveja e chope;999.0;Outras bebidas alcoólicas não especificadas nos itens anteriores;
03.001.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;1.0;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml;Fabricados em escala industrial não relevante
03.002.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;2.0;"Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00";Fabricados em escala industrial não relevante
03.003.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;3.0;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml;Fabricados em escala industrial não relevante
03.004.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;4.0;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml;Fabricados em escala industrial não relevante
03.005.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;5.0;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml;Fabricados em escala industrial não relevante
03.006.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;6.0;"Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00";Fabricados em escala industrial não relevante
03.007.00;2202.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;7.0;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes;Fabricados em escala industrial não relevante
03.008.00;2202.99.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;8.0;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente;Fabricados em escala industrial não relevante
03.010.00;2202;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;10.0;Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01;Fabricados em escala industrial não relevante
03.011.00;2202;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;11.0;Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01;Fabricados em escala industrial não relevante
03.011.01;2202;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;11.1;Espumantes sem álcool;
03.012.00;2106.90.10;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;12.0;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”;Fabricados em escala industrial não relevante
03.013.00;2106.90;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;13.0;Bebidas energéticas em embalagem com capacidade inferior a 600ml;Fabricados em escala industrial não relevante
03.013.00;2202.99.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;13.0;Bebidas energéticas em embalagem com capacidade inferior a 600ml;Fabricados em escala industrial não relevante
03.014.00;2106.90;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;14.0;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml;Fabricados em escala industrial não relevante
03.014.00;2202.99.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;14.0;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml;Fabricados em escala industrial não relevante
03.015.00;2106.90;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;15.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml;Fabricados em escala industrial não relevante
03.015.00;2202.99.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;15.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml;Fabricados em escala industrial não relevante
03.016.00;2106.90;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;16.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml;Fabricados em escala industrial não relevante
03.016.00;2202.90.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;16.0;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml;Fabricados em escala industrial não relevante
03.021.00;2203.00.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;21.0;Cerveja;
03.022.00;2202.91.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;22.0;Cerveja sem álcool;Fabricados em escala industrial não relevante
03.023.00;2203.00.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;23.0;Chope;
03.024.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;24.0;Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros;Fabricados em escala industrial não relevante
03.025.00;2201.10.00;03. Cervejas, chopes, refrigerantes, águas e outras bebidas;25.0;Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros;Fabricados em escala industrial não relevante
04.001.00;2402;04. Cigarros e outros produtos derivados do fumo;1.0;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos;
04.002.00;2403.1;04. Cigarros e outros produtos derivados do fumo;2.0;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção;
05.001.00;2523;05. Cimentos;1.0;Cimento;
06.001.00;2207.10.10;06. Combustíveis e lubrificantes;1.0;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível);
06.001.01;2207.10.90;06. Combustíveis e lubrificantes;1.1;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível);
06.002.00;2710.12.59;06. Combustíveis e lubrificantes;2.0;Gasolina automotiva A, exceto Premium;
06.002.01;2710.12.59;06. Combustíveis e lubrificantes;2.1;Gasolina automotiva C, exceto Premium;
06.002.02;2710.12.59;06. Combustíveis e lubrificantes;2.2;Gasolina automotiva A Premium;
06.002.03;2710.12.59;06. Combustíveis e lubrificantes;2.3;Gasolina automotiva C Premium;
06.003.00;2710.12.51;06. Combustíveis e lubrificantes;3.0;Gasolina de aviação;
